,Content,Location,Username,Retweet-Count,Favorites,Created at
86,"@OpenUniversity colleagues from @OU_FASS @OU_ECYS
@OU_WELS @OU_LAL @FBL_OU
have written this great  @OUFreeLearning course 4 students nervous about  posting to online forums. Some of the team: @carolyncooke16
@Susan_Creed
@f_mackinnon  
@Claire_S10   
https://t.co/vJPsKWIxw5","Redcar, Cleveland, NE England ",JamesRoy,0,1,2020-08-13 22:18:20
87,"@WHWDPod Is that were they taught you that ""wE gOtS EduCaTiOn!?""

I think you're confusing university with ""online degrees..."" 🤣🤣🙄",Alberta,GerryDuker52004,0,0,2020-08-13 22:18:16
88,".@RCSDNYS students will spend the first 10 weeks of classes learning remotely: https://t.co/Vi3J6Udcxo   

Stay with us on-air and online as we continue tracking this story tonight: https://t.co/2UK4e2wuEv","Rochester, NY",KarenEdwardsTV,3,5,2020-08-13 22:17:47
89,"The *Unique College in Attur* for Quality Education &amp; Women Empowerment.
 
*Sri Kailash Women's College, Thalaivasal*

For Online Admission Contact :
https://t.co/asUhHLJjP3

🌟 Good in Academics
🌟 5 University Ranks
🌟 239 Centum
🌟 850 job offers
🌟 Hi-tech infrastructure https://t.co/pS9C8e1i7A","THALAIVASAL,SALEM",WomensSri,0,0,2020-08-13 22:16:54
90,"@emrjackson @DineshDSouza Honestly, I wasn't even taught properly. I had to seek out my own education. I recommend the @Hillsdale online courses on the Constitution and reading really old texts like the one I'm linking below.

https://t.co/8Qq0vxjz2d",NE Ohio,watchdog_jedi,0,1,2020-08-13 22:15:02
91,"@emily_llouise @MikeBatt01 They could have done a ""seen"", online exam, with a teacher watching over Zoom. Or just given them one of their preferences. The way the government have handled education in this emergency has been disgusting.",N/A ,BadgerLarks,1,2,2020-08-13 22:14:26
92,BBC News - 10 global megatrends facing education: online or offline; Learning versus the echo chamber https://t.co/ALLuDSoppM,Athens GR,deligianni_d,0,0,2020-08-13 22:09:25
93,"Thanks to Celi Haga, Superintendent Lisa Sayles-Adams &amp; Assistant Superintendent Erin Rathke for spending 30 minutes today on Zoom addressing some of the questions you all asked yesterday

Online Academy: https://t.co/5jrhezNueg

Elementary: https://t.co/MK1I7jK1cK

More to come!","Chaska, MN",ChanChaskaSport,0,4,2020-08-13 22:07:47
94,"Or the emails at midnight? Or the live video chats online to help them face to face. @Sflecce, you have some nerve calling us bare min. A recent grad with zero education experience and a silver spoon stuck in that selfie mouth of yours. You insult us daily",,schmoopgirl,0,1,2020-08-13 22:05:54
95,"Paging all tenured faculty: help us win a #MoralRestart.

""'We get really upset about things like academic freedom, tenure protections ... But those things get eroded anyway. … Join us in direct action, think about what you can do and come work with us.'"" https://t.co/5wZj94Q3ng","Madison, WI",AnnaMeierPS,3,5,2020-08-13 22:05:00
96,"@DrRLofthouse @LucyT1079 Bigger things than this at the moment. The decimation of proper education by teachers to be replaced by online learning, as outlined by the WEF and others and coming in on the back of Covid (that has been deliberately used as a controlled demolition of everything)",,js100js100,2,2,2020-08-13 22:04:54
97,"Did you know the Government of Canada can provide FREE money for your child’s future post-secondary education plans?

Join us for this free workshop August 19, with language support in Punjabi, to learn all about it! For more info or to register, visit https://t.co/t82UCI32hT https://t.co/0r7ylQWQ6F",Surrey BC,DIVERSEcityBC,0,0,2020-08-13 22:02:34
98,"Actually no, education should be free, fuck your cost to print make it accessible and free online! And nationalise WiFi whilst you’re at it!","Cardiff, Wales",Dabes__,0,1,2020-08-13 22:02:23
99,"The pandemic resulted in schools shut all across the world. 

Globally, over 1.2 billion children are out of the classroom.

https://t.co/NRiH0syDEK https://t.co/K3lf4oYdW3","Brampton, Ontario, Canada",accesscharity,0,0,2020-08-13 22:02:01
100,"@RMConservative 

We used Ambleside Online curriculum. Classical education. Very thorough. 

#homeschooling #thabomb #heartsandminds.","Raleigh, NC",DramaQlean,0,0,2020-08-13 22:01:52
101,"Join us for a 3-part virtual ed series and learn the strategies you need to work with other depts, build strategic relationships, reduce risks, problem solve and help get your org on the same page. Sign up for the 2020 IPC Collaboration Series here: https://t.co/CRdc56fZg1 https://t.co/ikUAmd7wqm","Washington, DC",APIC,0,0,2020-08-13 22:01:45
